Jul;24;13:22:03;37.59.98.130;51.38.115.130;40;20;22
Jul;24;13:22:33;112.113.133.56;51.38.115.130;40;51109;23
Jul;24;13:22:41;137.74.151.2;51.38.115.130;40;59406;36652
Jul;24;13:22:49;37.57.174.125;51.38.115.130;40;57520;34315
Jul;24;13:23:42;137.74.151.2;51.38.115.130;40;59406;36742
Jul;24;13:24:22;37.59.98.130;51.38.115.130;40;20;22
Jul;24;13:24:35;78.128.112.18;51.38.115.130;40;44203;27900
Jul;24;13:24:46;185.169.231.209;51.38.115.130;40;65535;8900
Jul;24;13:25:02;77.247.178.133;51.38.115.130;52;65173;22
Jul;24;13:25:05;77.247.178.133;51.38.115.130;52;65173;22
Jul;24;13:26:17;37.57.174.125;51.38.115.130;40;57520;34205
Jul;24;13:26:18;47.93.233.109;51.38.115.130;40;3714;8080
Jul;24;13:26:25;1.49.1.244;51.38.115.130;40;33357;23
Jul;24;13:27:56;46.161.27.224;51.38.115.130;40;47019;3378
Jul;24;13:28:46;77.247.178.133;51.38.115.130;52;54376;22
Jul;24;13:28:49;77.247.178.133;51.38.115.130;52;54376;22
Jul;24;13:28:57;122.228.10.51;51.38.115.130;44;23113;1080
Jul;24;13:29:33;139.99.107.210;51.38.115.130;52;55488;445
Jul;24;13:29:46;46.105.56.94;51.38.115.130;52;64831;445
Jul;24;13:29:55;31.192.108.68;51.38.115.130;40;53596;37003
Jul;24;13:30:31;54.37.72.135;51.38.115.130;44;50558;25
Jul;24;13:30:31;54.37.72.135;51.38.115.130;44;50558;3389
Jul;24;13:30:31;54.37.72.135;51.38.115.130;44;50558;53
Jul;24;13:30:32;54.37.72.135;51.38.115.130;44;50559;53
Jul;24;13:30:47;54.37.72.135;51.38.115.130;44;50559;53
Jul;24;13:31:45;5.188.86.29;51.38.115.130;40;56495;10689
Jul;24;13:32:10;217.119.124.26;51.38.115.130;40;41843;81
Jul;24;13:32:17;146.185.222.40;51.38.115.130;40;53002;28537
Jul;24;13:32:24;146.185.222.11;51.38.115.130;40;42142;19373
Jul;24;13:32:37;77.247.178.133;51.38.115.130;52;61007;22
Jul;24;13:33:08;45.227.255.55;51.38.115.130;40;38093;8545
Jul;24;13:33:30;5.188.10.242;51.38.115.130;40;43440;3683
Jul;24;13:34:02;107.170.226.214;51.38.115.130;40;37257;8123
Jul;24;13:34:16;185.255.31.31;51.38.115.130;40;41351;5657
Jul;24;13:35:41;77.72.85.101;51.38.115.130;40;49208;3389
Jul;24;13:35:48;192.99.45.102;51.38.115.130;52;51211;445
Jul;24;13:36:10;192.99.174.252;51.38.115.130;52;58718;445
Jul;24;13:36:11;41.184.170.87;51.38.115.130;40;56639;23
Jul;24;13:36:35;77.247.178.133;51.38.115.130;52;56924;22
